,x,"Freq.
Ass.","Freq.
Relativa",Rel.,,MEDIA
,<i>,p(i),p(i),i*p(i),,
1,25,1,0.00390625,0.09765625,,29
2,26,8,0.03125,0.8125,,
3,26,,0,0,,
4,26,,0,0,,
5,26,,0,0,,
6,26,,0,0,,
7,26,,0,0,,
8,26,,0,0,,
9,26,,0,0,,
10,27,28,0.109375,2.953125,,
11,27,,0,0,,
12,27,,0,0,,
13,27,,0,0,,
14,27,,0,0,,
15,27,,0,0,,
16,27,,0,0,,
17,27,,0,0,,
18,27,,0,0,,
19,27,,0,0,,
20,27,,0,0,,
21,27,,0,0,,
22,27,,0,0,,
23,27,,0,0,,
24,27,,0,0,,
25,27,,0,0,,
26,27,,0,0,,
27,27,,0,0,,
28,27,,0,0,,
29,27,,0,0,,
30,27,,0,0,,
31,27,,0,0,,
32,27,,0,0,,
33,27,,0,0,,
34,27,,0,0,,
35,27,,0,0,,
36,27,,0,0,,
37,27,,0,0,,
38,28,56,0.21875,6.125,,
39,28,,0,0,,
40,28,,0,0,,
41,28,,0,0,,
42,28,,0,0,,
43,28,,0,0,,
44,28,,0,0,,
45,28,,0,0,,
46,28,,0,0,,
47,28,,0,0,,
48,28,,0,0,,
49,28,,0,0,,
50,28,,0,0,,
51,28,,0,0,,
52,28,,0,0,,
53,28,,0,0,,
54,28,,0,0,,
55,28,,0,0,,
56,28,,0,0,,
57,28,,0,0,,
58,28,,0,0,,
59,28,,0,0,,
60,28,,0,0,,
61,28,,0,0,,
62,28,,0,0,,
63,28,,0,0,,
64,28,,0,0,,
65,28,,0,0,,
66,28,,0,0,,
67,28,,0,0,,
68,28,,0,0,,
69,28,,0,0,,
70,28,,0,0,,
71,28,,0,0,,
72,28,,0,0,,
73,28,,0,0,,
74,28,,0,0,,
75,28,,0,0,,
76,28,,0,0,,
77,28,,0,0,,
78,28,,0,0,,
79,28,,0,0,,
80,28,,0,0,,
81,28,,0,0,,
82,28,,0,0,,
83,28,,0,0,,
84,28,,0,0,,
85,28,,0,0,,
86,28,,0,0,,
87,28,,0,0,,
88,28,,0,0,,
89,28,,0,0,,
90,28,,0,0,,
91,28,,0,0,,
92,28,,0,0,,
93,28,,0,0,,
94,29,70,0.2734375,7.9296875,,
95,29,,0,0,,
96,29,,0,0,,
97,29,,0,0,,
98,29,,0,0,,
99,29,,0,0,,
100,29,,0,0,,
101,29,,0,0,,
102,29,,0,0,,
103,29,,0,0,,
104,29,,0,0,,
105,29,,0,0,,
106,29,,0,0,,
107,29,,0,0,,
108,29,,0,0,,
109,29,,0,0,,
110,29,,0,0,,
111,29,,0,0,,
112,29,,0,0,,
113,29,,0,0,,
114,29,,0,0,,
115,29,,0,0,,
116,29,,0,0,,
117,29,,0,0,,
118,29,,0,0,,
119,29,,0,0,,
120,29,,0,0,,
121,29,,0,0,,
122,29,,0,0,,
123,29,,0,0,,
124,29,,0,0,,
125,29,,0,0,,
126,29,,0,0,,
127,29,,0,0,,
128,29,,0,0,,
129,29,,0,0,,
130,29,,0,0,,
131,29,,0,0,,
132,29,,0,0,,
133,29,,0,0,,
134,29,,0,0,,
135,29,,0,0,,
136,29,,0,0,,
137,29,,0,0,,
138,29,,0,0,,
139,29,,0,0,,
140,29,,0,0,,
141,29,,0,0,,
142,29,,0,0,,
143,29,,0,0,,
144,29,,0,0,,
145,29,,0,0,,
146,29,,0,0,,
147,29,,0,0,,
148,29,,0,0,,
149,29,,0,0,,
150,29,,0,0,,
151,29,,0,0,,
152,29,,0,0,,
153,29,,0,0,,
154,29,,0,0,,
155,29,,0,0,,
156,29,,0,0,,
157,29,,0,0,,
158,29,,0,0,,
159,29,,0,0,,
160,29,,0,0,,
161,29,,0,0,,
162,29,,0,0,,
163,29,,0,0,,
164,30,56,0.21875,6.5625,,
165,30,,0,0,,
166,30,,0,0,,
167,30,,0,0,,
168,30,,0,0,,
169,30,,0,0,,
170,30,,0,0,,
171,30,,0,0,,
172,30,,0,0,,
173,30,,0,0,,
174,30,,0,0,,
175,30,,0,0,,
176,30,,0,0,,
177,30,,0,0,,
178,30,,0,0,,
179,30,,0,0,,
180,30,,0,0,,
181,30,,0,0,,
182,30,,0,0,,
